Date,Daily Average,Record High Daily Average,Year1,Record Low Daily Average,Year2,Average High,Lowest High,Year3,Record High,Year4,Average Low,Highest Low,Year5,Record Low,Year6,Years
27-Jun,86.0,89.8,2020,82.3,2002,87.2,82.9,2002,90.9,2020,85.1,89.2,2020,81.5,2012,24
28-Jun,86.1,89.6,2020,82.9,2002,87.2,83.3,2002,90.5,2020,85.1,88.7,2020,82.2,2002,25
29-Jun,86.1,89.8,2020,83.3,2002,87.3,84.4,2002,91.0,2020,85.2,88.7,2020,82.0,2001,25
30-Jun,86.2,90.3,2020,83.3,2002,87.4,83.8,2002,91.9,2020,85.3,88.7,2020,82.9,2002,25
01-Jul,86.3,90.1,2020,83.7,1999,87.4,84.2,1999,92.3,2020,85.3,88.5,2020,82.4,1996,25
02-Jul,86.3,90.0,2020,82.8,2002,87.5,83.5,1999,92.5,2020,85.4,88.2,2020,82.2,2002,26
03-Jul,86.4,90.2,2020,82.0,1999,87.5,82.8,1999,92.1,2020,85.4,88.3,2023,81.5,1999,25
04-Jul,86.5,90.2,2020,82.0,1999,87.6,82.9,1999,92.1,2020,85.5,88.7,2023,81.1,1999,26
05-Jul,86.5,90.1,2023,83.1,1999,87.7,84.2,1999,91.4,2023,85.6,89.4,2023,82.2,1999,26
06-Jul,86.6,90.3,2023,84.4,2011,87.7,85.3,2011,91.2,2023,85.6,89.8,2023,83.1,2013,25
07-Jul,86.6,89.9,2020,83.2,2011,87.8,83.8,2011,91.4,2020,85.7,89.4,2023,82.4,2011,26
08-Jul,86.7,90.5,2020,82.6,2011,87.8,83.7,2011,91.4,2020,85.7,89.6,2020,81.7,2011,26
09-Jul,86.7,90.3,2020,83.4,2011,87.9,84.4,2011,91.4,2020,85.8,89.4,2020,82.8,2011,26
10-Jul,86.8,90.2,2020,83.1,2002,87.9,84.0,2002,90.7,2020,85.8,89.6,2020,82.4,2002,25
11-Jul,86.8,90.1,2023,82.7,2002,88.0,83.5,2002,91.0,2023,85.9,89.2,2023,82.0,2002,25
12-Jul,86.9,90.5,2023,83.6,2002,88.0,84.7,2006,91.8,2023,85.9,89.6,2023,82.0,2002,26
13-Jul,86.9,90.4,2023,83.6,2006,88.1,84.0,2006,91.4,2023,86.0,89.2,2023,82.9,2006,24
